,Unnamed: 0,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
18,2117767,1595059200,2020-07-18 08:00:00+00:00,ETH-USD,233.3,233.3,233.27,233.28,8.83727713
77,2117826,1595062800,2020-07-18 09:00:00+00:00,ETH-USD,234.4,234.4,234.38,234.38,3.52594936
137,2117886,1595066400,2020-07-18 10:00:00+00:00,ETH-USD,235.08,235.13,235.07,235.13,4.44619879
196,2117945,1595070000,2020-07-18 11:00:00+00:00,ETH-USD,234.87,234.89,234.87,234.89,56.70712271
254,2118003,1595073600,2020-07-18 12:00:00+00:00,ETH-USD,234.95,235.22,234.95,235.22,91.23535395
314,2118063,1595077200,2020-07-18 13:00:00+00:00,ETH-USD,234.87,235.03,234.87,235.02,45.98275822
374,2118123,1595080800,2020-07-18 14:00:00+00:00,ETH-USD,234.65,234.73,234.65,234.66,20.43291213
434,2118183,1595084400,2020-07-18 15:00:00+00:00,ETH-USD,234.97,235.0,234.94,235.0,15.91754473
494,2118243,1595088000,2020-07-18 16:00:00+00:00,ETH-USD,235.14,235.19,235.13,235.15,120.27941441
554,2118303,1595091600,2020-07-18 17:00:00+00:00,ETH-USD,234.78,234.96,234.77,234.96,14.74257224
614,2118363,1595095200,2020-07-18 18:00:00+00:00,ETH-USD,234.93,234.93,234.92,234.93,1.73644215
674,2118423,1595098800,2020-07-18 19:00:00+00:00,ETH-USD,235.86,236.05,235.85,236.0,31.52016496
734,2118483,1595102400,2020-07-18 20:00:00+00:00,ETH-USD,235.73,235.9,235.68,235.85,356.26273467
794,2118543,1595106000,2020-07-18 21:00:00+00:00,ETH-USD,236.36,236.4,236.28,236.28,218.89402664
854,2118603,1595109600,2020-07-18 22:00:00+00:00,ETH-USD,236.15,236.16,236.06,236.11,4.28821576
914,2118663,1595113200,2020-07-18 23:00:00+00:00,ETH-USD,235.67,235.67,235.61,235.61,1.04172611
974,2118723,1595116800,2020-07-19 00:00:00+00:00,ETH-USD,235.69,235.69,235.66,235.66,68.67955989
1034,2118783,1595120400,2020-07-19 01:00:00+00:00,ETH-USD,236.2,236.2,236.17,236.19,12.38005924
1094,2118843,1595124000,2020-07-19 02:00:00+00:00,ETH-USD,235.68,235.68,235.21,235.58,218.91483998
1153,2118902,1595127600,2020-07-19 03:00:00+00:00,ETH-USD,235.08,235.08,235.08,235.08,0.80335015
1213,2118962,1595131200,2020-07-19 04:00:00+00:00,ETH-USD,234.88,234.88,234.72,234.77,84.00183392
1273,2119022,1595134800,2020-07-19 05:00:00+00:00,ETH-USD,234.92,234.97,234.92,234.97,5.32212801
1333,2119082,1595138400,2020-07-19 06:00:00+00:00,ETH-USD,234.11,234.11,233.99,234.0,68.98590497
1393,2119142,1595142000,2020-07-19 07:00:00+00:00,ETH-USD,234.6,234.6,234.6,234.6,0.94831256
1450,2119199,1595145600,2020-07-19 08:00:00+00:00,ETH-USD,234.61,234.61,234.6,234.6,2.55549734
1505,2119254,1595149200,2020-07-19 09:00:00+00:00,ETH-USD,234.89,234.89,234.85,234.85,0.94139267
1562,2119311,1595152800,2020-07-19 10:00:00+00:00,ETH-USD,234.84,234.88,234.84,234.88,5.43175581
1616,2119365,1595156400,2020-07-19 11:00:00+00:00,ETH-USD,233.73,233.73,233.72,233.72,1.97581026
1672,2119421,1595160000,2020-07-19 12:00:00+00:00,ETH-USD,233.76,233.76,233.71,233.75,3.3926
1732,2119481,1595163600,2020-07-19 13:00:00+00:00,ETH-USD,233.94,233.95,233.89,233.89,36.73677242
1789,2119538,1595167200,2020-07-19 14:00:00+00:00,ETH-USD,233.85,233.85,233.79,233.8,4.39572087
1849,2119598,1595170800,2020-07-19 15:00:00+00:00,ETH-USD,233.98,234.01,233.98,234.01,1.40473332
1909,2119658,1595174400,2020-07-19 16:00:00+00:00,ETH-USD,233.73,233.74,233.73,233.74,63.7565833
1969,2119718,1595178000,2020-07-19 17:00:00+00:00,ETH-USD,234.54,234.66,234.54,234.66,41.37220573
2029,2119778,1595181600,2020-07-19 18:00:00+00:00,ETH-USD,234.71,234.84,234.68,234.84,9.48489389
2088,2119837,1595185200,2020-07-19 19:00:00+00:00,ETH-USD,235.41,235.71,235.4,235.6,210.18523562
2148,2119897,1595188800,2020-07-19 20:00:00+00:00,ETH-USD,235.47,235.64,235.47,235.61,26.53006375
2208,2119957,1595192400,2020-07-19 21:00:00+00:00,ETH-USD,235.63,235.74,235.63,235.74,2.57267848
2268,2120017,1595196000,2020-07-19 22:00:00+00:00,ETH-USD,235.71,235.91,235.71,235.9,75.87998045
2328,2120077,1595199600,2020-07-19 23:00:00+00:00,ETH-USD,237.96,238.37,237.96,238.34,331.46893776
2388,2120137,1595203200,2020-07-20 00:00:00+00:00,ETH-USD,239.26,239.71,239.26,239.66,19.80962192
2448,2120197,1595206800,2020-07-20 01:00:00+00:00,ETH-USD,238.78,238.9,238.77,238.87,30.91492636
2508,2120257,1595210400,2020-07-20 02:00:00+00:00,ETH-USD,238.15,238.23,238.06,238.12,187.5755092
2568,2120317,1595214000,2020-07-20 03:00:00+00:00,ETH-USD,238.64,238.65,238.64,238.64,3.89694771
2628,2120377,1595217600,2020-07-20 04:00:00+00:00,ETH-USD,238.77,238.78,238.77,238.78,15.17098996
2688,2120437,1595221200,2020-07-20 05:00:00+00:00,ETH-USD,238.53,238.53,238.52,238.53,2.62980983
2748,2120497,1595224800,2020-07-20 06:00:00+00:00,ETH-USD,239.25,239.26,238.98,238.98,311.50163601
2808,2120557,1595228400,2020-07-20 07:00:00+00:00,ETH-USD,238.39,238.39,238.37,238.38,5.49043877
2866,2120615,1595232000,2020-07-20 08:00:00+00:00,ETH-USD,238.55,238.6,238.55,238.6,12.23871968
2923,2120672,1595235600,2020-07-20 09:00:00+00:00,ETH-USD,238.91,238.92,238.91,238.92,4.89711674
2980,2120729,1595239200,2020-07-20 10:00:00+00:00,ETH-USD,238.75,238.75,238.67,238.68,28.21739942
3039,2120788,1595242800,2020-07-20 11:00:00+00:00,ETH-USD,237.47,237.47,237.3,237.46,16.88570519
3099,2120848,1595246400,2020-07-20 12:00:00+00:00,ETH-USD,237.39,237.39,237.23,237.37,33.88691583
3158,2120907,1595250000,2020-07-20 13:00:00+00:00,ETH-USD,238.2,238.2,238.13,238.13,12.45797248
3218,2120967,1595253600,2020-07-20 14:00:00+00:00,ETH-USD,237.48,237.48,237.34,237.35,187.48796126
3278,2121027,1595257200,2020-07-20 15:00:00+00:00,ETH-USD,237.48,237.48,237.28,237.36,209.0603905
3338,2121087,1595260800,2020-07-20 16:00:00+00:00,ETH-USD,237.94,237.94,237.81,237.88,14.67870145
3398,2121147,1595264400,2020-07-20 17:00:00+00:00,ETH-USD,238.14,238.21,238.13,238.17,35.8956281
3458,2121207,1595268000,2020-07-20 18:00:00+00:00,ETH-USD,238.56,238.79,238.56,238.6,20.62586065
3518,2121267,1595271600,2020-07-20 19:00:00+00:00,ETH-USD,238.12,238.12,238.0,238.0,17.43735435
3578,2121327,1595275200,2020-07-20 20:00:00+00:00,ETH-USD,235.41,235.41,235.1,235.13,44.75724389
3638,2121387,1595278800,2020-07-20 21:00:00+00:00,ETH-USD,236.37,236.42,236.32,236.32,20.51732828
3698,2121447,1595282400,2020-07-20 22:00:00+00:00,ETH-USD,236.02,236.02,235.67,235.67,123.6957534
3758,2121507,1595286000,2020-07-20 23:00:00+00:00,ETH-USD,236.26,236.29,236.24,236.27,6.65490866
3818,2121567,1595289600,2020-07-21 00:00:00+00:00,ETH-USD,236.12,236.12,235.94,235.98,117.04909873
3878,2121627,1595293200,2020-07-21 01:00:00+00:00,ETH-USD,236.79,236.98,236.79,236.89,60.10144739
3938,2121687,1595296800,2020-07-21 02:00:00+00:00,ETH-USD,237.11,237.18,237.06,237.15,1.39588583
3998,2121747,1595300400,2020-07-21 03:00:00+00:00,ETH-USD,236.95,236.95,236.94,236.95,8.74098048
4057,2121806,1595304000,2020-07-21 04:00:00+00:00,ETH-USD,237.07,237.15,237.07,237.08,6.751985
4117,2121866,1595307600,2020-07-21 05:00:00+00:00,ETH-USD,236.8,236.88,236.71,236.83,136.68900526
4177,2121926,1595311200,2020-07-21 06:00:00+00:00,ETH-USD,238.04,238.04,238.02,238.02,2.44112451
4236,2121985,1595314800,2020-07-21 07:00:00+00:00,ETH-USD,238.04,238.28,238.04,238.25,36.09932974
4295,2122044,1595318400,2020-07-21 08:00:00+00:00,ETH-USD,241.95,242.81,241.95,242.64,1479.06887328
4355,2122104,1595322000,2020-07-21 09:00:00+00:00,ETH-USD,241.45,242.25,241.45,242.25,275.95582201
4414,2122163,1595325600,2020-07-21 10:00:00+00:00,ETH-USD,241.82,241.91,241.81,241.91,98.96381302
4474,2122223,1595329200,2020-07-21 11:00:00+00:00,ETH-USD,243.19,243.21,243.12,243.12,62.69952899
4534,2122283,1595332800,2020-07-21 12:00:00+00:00,ETH-USD,243.3,243.76,243.29,243.76,102.56133897
4594,2122343,1595336400,2020-07-21 13:00:00+00:00,ETH-USD,244.16,244.43,244.13,244.3,73.46252722
4654,2122403,1595340000,2020-07-21 14:00:00+00:00,ETH-USD,244.23,244.51,244.23,244.46,22.13634052
4714,2122463,1595343600,2020-07-21 15:00:00+00:00,ETH-USD,243.72,243.87,243.71,243.86,44.75992706
4774,2122523,1595347200,2020-07-21 16:00:00+00:00,ETH-USD,243.74,243.8,243.63,243.8,376.87686785
4834,2122583,1595350800,2020-07-21 17:00:00+00:00,ETH-USD,244.12,244.12,244.11,244.11,7.0046868
4894,2122643,1595354400,2020-07-21 18:00:00+00:00,ETH-USD,244.56,244.56,244.54,244.55,33.94206122
